epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,434.673,1.55826,4.10154,1.19453,0.89561,0.18268,0.33955,0.19279,1.79295,2.69515,1.61966,0.000666202,0.000666202,0.000666202
2,853.551,1.54102,2.64578,1.19294,0.06319,0.68411,0.2608,0.14097,1.81744,2.4429,1.82052,0.00120091,0.00120091,0.00120091
3,1270.44,1.48182,2.46885,1.16117,0.49313,0.34157,0.39102,0.21902,1.65386,2.13495,1.54122,0.00160363,0.00160363,0.00160363
4,1690.95,1.42666,2.36849,1.13659,0.24957,0.353,0.24422,0.11337,1.58858,1.91832,1.47786,0.001406,0.001406,0.001406
5,2106.78,1.33018,2.25747,1.07897,0.40055,0.44053,0.40954,0.23969,1.32311,1.77652,1.38661,0.001208,0.001208,0.001208
6,2528.37,1.31667,2.17153,1.0775,0.4718,0.43102,0.43527,0.26922,1.29553,1.61948,1.34481,0.00101,0.00101,0.00101
7,2952.19,1.27315,2.14685,1.05339,0.35753,0.42626,0.3681,0.20853,1.30153,1.62558,1.37569,0.000812,0.000812,0.000812
8,3370.03,1.20123,2.10021,1.00455,0.63526,0.47479,0.55557,0.33715,1.28731,1.40686,1.29494,0.000614,0.000614,0.000614
9,3791.33,1.19347,1.99408,1.01063,0.65909,0.47383,0.56548,0.3412,1.19735,1.83514,1.25769,0.000416,0.000416,0.000416
10,4212.52,1.20159,1.90604,1.02653,0.67732,0.52046,0.59032,0.37733,1.16525,1.37592,1.21428,0.000218,0.000218,0.000218
